sentence,char_count
kub ek ta shubidhajonok noy। ktn eta ek ta pjitiv dik। jamar kpor kom and drese je bl printgulo rjechhe segulo ojash krlei uthe will go।,126
"chhobir shathe kono match nei।apnra je jinsh pathaben setar chobi diben।baje jinish ।।।।clr thakbe na 100%
niu market r dam 350 takar beshi nah ।",132
fat muti valo  all niye paro,31
"chole kono rkm 
more ta bhalo na",30
"dam onujai thik ace, thnks",28
vhalo na jamay onek dag😡😡😑,26
khb sundr aamar pochondo hoice,28
alhmdu hubhu mil ase,28
alhamdulillah kub bhalo kap,28
"daam hishebe ttta bhal n,,,",26
pa jamar kapta unnt naa।,25
vlo naa fabric er quality khrp,25
ami 1st time nici onk valo,26
khub e sundr  ekdm chhobir mt,25
kapr valo na ekdm kharab,23
kap tar koaliti bhalo।,23
Ami ata return Dibo Na,22
vlo product. nite paren,23
Onk valo posondo hoice,22
daam anujaji moderate,21
massallah onk sundor,20
product ti onk valo,19
dam baysi nicay😔😔,17
hatar kap de naai।,19
"Kapr 
otota balo na",19
motamoti valo hoice,19
temin valo na😑😴🙄,16
onek valo cilo....,18
shirt bsh bhalo nah,17
valona। color uthe ja,18
kapr maan bhal na,16
faltu ekta dress,16
Daraz ke dhnjbad,16
ekdm baje kap ta,17
vlo na.kapor baje,17
Khub sundor cilo,16
pnjti valchhil।,14
mutamuti valo.,14
Valo kinto soto,15
price hisabe valooo,15
Tnk you seller,14
valo nite paren,14
mota muti valo,14
salwar Valo na,14
kapr ekdn worst,14
thnks  daraz,14
ekdom phaltu,10
valooo cilo onnk,13
sundor hoyecy,13
"cloth er color uthe ,,,,,",20
Thanks Daraz,12
taka pai nai,12
Khub Sundar,11
total valo,10
valo peyeci,11
valona beshi,11
otta valooo na।but works।,21
kaporer koaliti mutamuti also balo asha cilo,43
mashallah ei thri pichhta onk bhal legechhe। sobai nite paro । dhonnobad daraz & slr vaike।,89
Quality valo na.  Fes fese,26
"vhai ami thri pc 3 ti diechhi bt rfnd krlen 1 tir
1250/- mere dilen!",74
alhamdulillah dress bhal hoice,31
"valoi, tobe salojarer rong uthechhe।",30
"daam onujai patla,,,,",21
onk tnx e prthm ekta dres pelaam mner mtea  slr bhai ke ank tnx,75
"bdt gulo jle phelte nah jodi chao keu odar kiren naa,,,print gula ekdm i bhlo na + kap ta eto।bad eta jodi ekbar pore dhoa h 2 bar ar prar upjukt thakbe nah। ar color ba print r ki hal hbe ta dekhei bojha jacche,,,slr ke blbo ur kaper।standard onujai price rakhen,,300/350 tk dam hile।manan si chilo।koalitir sathe,,,bat 550 ij thu mach।lok thikano chhaa। vishn vabe osntusht।",366
u oi maner customer so ur kachhe 350 bdt mone h markete gie jachhai kre dekhen 1 gj kaper dam kt tata minimam 90 tk and apnake ei thri-pich e 8 gj kap deoa hechhe r pore abar design kora ki ato easy hajar hajar prdt sel krechi aapnar mt eto nimno maner cstmr pai nei ei prthm apnake pailam karn apni phutpater customer tai ur kachhe emni mone hbe,353
ojash krlei print uthe will go shob eto nimno maner cloth den u all।,63
valo na ek ktha 😜😜🖕🖕🖕🖕,22
scheiße,7
"thri pc ta ekdom bad diechhe, jemon chaichhi like that naa, ekdm srt, and ekjaga chhidr kora, ami return dite chai kivabe dibo blen।",122
emon vabe photo diyeche mne hocche shuta dije kaj kora kapor ashle shuta dije work kra na eta chhapar ek ti kapor but kapdta shuti,123
"photo er mt n moteo!!
vuleo onlaine esb chtkdar photo dekhe esb niben na keo!! sabdhan!!",80
"jemon‌ dekhte tar biprit peyechi so‌khub khrp lagchhe ।
daraz ke blte chai jemon jinsh deben temni pic diben । manush photo dekhei odar kore",130
mein dress ta deni😡,19
avg oi,10
ase motamuti vlo,17
motamuti vlo,12
ekdom worst kap। kaper koaliti bhal na। bdt onujai  kaper standard karap।।,72
kap ta besh valo na।but dam ta ank beshi।ophar praije & ei kap onek bsh price,80
kap vlo nah ek bare nrmal chlena,32
khub baje rong uthe gese,24
akdom baje .,12
Akbare baje product,19
thri pc vlo hjni,19
"jemnta hope krchhilam, temon h nei",31
temon ekta bhal na 😭,19
"ekdom baje phebriks,  print gulea and ek dhouate goes went ।",58
phaltu,5
seller k 10+ msg disi kono reply nah.. daraz chat e message delivered but ignore kortese.. pathetic behavior,108
beshi valona,11
khb bad ekta jamar kapur,25
bhalo  na  10/4,14
phaltu prodact print gula uthe jai ekdm baje  and rong uthe jai,60
ekebare worst prdt r daam 300 tk manush thkano bjbsa krchhe era,66
kapor,5
prodtai valo naa,14
Not good  3pich all of sort,27
"ona ta chhea chilo 2 jaga!
chhea ona naa dileo parten।",54
"eto khrap koaliti hope kori ni।prchur rong uthe,ekdm purono silo",56
ek dm baje selojar odnar kapor।jamad cloth thik ache।,54
ekdm bad,9
oooookkkkk,10
color uthe ja,10
kharap nah,8
Motamuti,8
valo na,7
"bhal,",5
"khb ek ta bhal naa,,,,tao chlar mto",32
bhlo nah,7
naichh,4
keo kinbe naa phaltu 🤬,20
price onujai thiki ace,20
kap r koaliti bhal naa।।।,27
color uthe went bro kap ta besh bhalo naa,35
"chalanor mto,eto vlo nah",22
khb worst koaliti kap,22
kaper maan like that unnt n,24
"vlo na,,",9
motamuti valo,13
worst ek dm khrp,16
faltu,5
baje kap,9
khub e baje ekta prod। phebrik koaliti 300 takar thripichh r mt।,66
"ei pnjti onek bhlo। 
drar jagata ank norom। laita rechargeable knt chobi tular jonno jeta bebohar kra h ouitar battery bdlane lage। 
jodi etao rechargeable hoto tahle onnk bhlo hto 
shob milie like that bad na।  ami others for convenience jnno karap dikgula likhlam। r bade shob bhal। 
ei price e ato kicu ja omek onek bhlo।",302
"onk thnks drajke sundor prodts dejar jonno। je anyone chokh bndh kre nije paro।⭐⭐⭐⭐⭐ niyomitoi mi ponno order dichchhi bhlo ponno pasi। ete drajer proti amar bishwas  badchhe hope kori, drz aamar o all customers ke proti e bishwas maintained rakhbe। । sbkichhur j tnx daraz।",274
sbai malda niye paro jagor ph small amar phonta lightweight bro tai hoy na,67
"alhmdu jenta cheechhilam,, aapni chaileowo nite paren,,",57
emon ta cheechhilam temon tai peechhi।all niye paro,49
"bhlo but light e chrg thakena,, stand weak",48
vhai bes to say prn ti pi nah 😔😔🥺,32
"prodaktti druto hand e pee khule bebahar kore dekhechi shobkichu ok ace, onek bhal। less price e r chee valooo ar kichu naa। thnks Seller, Daraz & Deliveryman-ke।",152
prod bhlo pichi seller ke thanks fast and phresh prodact pathanor j ✅price according to prdt er qlt vlo,119
jinish ta jemon odar disi seim emon pi nah lyt jble naa ebong sten ta completely onk choto he gechhe er thke aamar hat i bhalo chilo 😭 daraz from eta asha kori nai 😭,152
prdt bhalo but stand weak dandije thakte pare naa plstk gula halka maner fon dhre rakhte problem hoi। but send hoice khub e surkshar with।dhonnobad ‼️,167
alhamdulillah dam onujai pnjti kubi valo jemnta asha krechhilam temntai peychi। apnarao chaile nite paren। seller vai keu dhonnobad pjakejingtao amazing chilo।,154
"stand ato small ken? sob milije 45 cm hobe। 
u all to blechhen 70 cm hobe? 
amake ato coto dichhen ken?",112
prdt ki hate peye mi kubi satisfied। packing kub sundr silo jemnta cheyechilam ok temni peychi।,104
"bhai ek ktha osadharn 
daam onujai but r laiter charge bedikshn thake na 
tobe r rimut er opr aami puro obsessed hegechhi
rimutta bhaloi dur theke bes smuth vabe kntrl kora ja
tb er metarialta sadharn vabe chole price onujai but jara hebi kichu koren taderke ami sajest korbo je lil bit 
damita niben 

tb drz knt ama ekdm valo product diechhe

tb eta aamar bes like hechhe 

apnra caile defo niye paren",397
"vai eidam eita nah neoai bhalo mone kori 
price lil bit baie valota nilei valo।
stand ekbare nrbre,v kkhn naa vengge ja ek talk kom dam hleo naa neoa valo
abar arek dike dam onujai ok ache।",183
"ei prodact ti eto quick pabo mi vabtei parinai ☺️🥰 
1 din pr peychi । ar it tall hole vlo hoto prob nah 😊😊 eto sundr amazing pelam mi khb happy hlam । r delivery bj tader use onek valo 🥰
thnks daraz ke 🥰🥰  bidaj allah haphej। 🥰",242
olp damer vitre bhaloi vj paichhilam anar pore laitta jblte chilo nah tkhn again amar biruddhe cilo naa charje dite parini prbrtite dekhchhi je naa lit jle,144
"THIS IS SO GOOD! AND WHY SO CHEAP PRICED!
onek vye chhilam je kine dhra khabo, 350 takar jinis 185 takay!

I got free delivery from purchasing 4-5 items from Any3 choice store. also further -10tk discount lol! 😄 

~ review by Talha",229
jinisgulo onek bhlo aamar kachhe onek bhalo felt egulo onek prjojnij jinish ja amader vid ank sahajj kore,107
alhdlh ank bhalo u all all it niye paro eto kom price e ato valo jinish pab kkhno hope krini chaile u all sbai nite paro,124
"packet ta aaj hand e pelam,shob motamuti ok ase knt upore laitti broken ken?ekbar & jalate parini।othch charg kreo jlena।🥹🥹🥹🥹 bishwas kre shob taka pymnt krechi ogrim bt batparrera thokalo।",188
"mon order krchhi wed peye gelam। mne hoi jibner all cheje bhlo ekta service pelam। bluetooth oke, chrg oke,light oke, lenth oke, shokt sturdy, kno issue naa, intact podakt ba packing ektu weak silo bla jay। ovral ekhon dekhi kt day chalate pari। tobe 1 din iuj kre blchhi 10/10। mdhu 😘",283
thanks darajake thanks delivery vaike । oshadharon ekti prdt amake giving jnno ank valo ek ti prod u all jodi chao niye paro dhonnobad,140
productTa kubi oshadharon  u all less bajeter modhye  daraz from to buy paro  chobi hbe kubi shundor  🤌🤍✨apu vaijer u all kinte paro  knt eti halka  jara vari jinis kjari korte chan naa tader jnno eti perfect   again jara etar inside vari jinish chan  their mi sajest krb  bsundhra  ba kono ilektrnik dokan from egulo kina  then more bhal hbe  echhada u all bishbaser shathe ei pej thke  eti kinte paro  danda je jnno shuvkamna ril  🤍🤍,426
"onek sundr ek ti product matr 192 taka 
I can’t believe  
onk small je kono jajgaj carry kra jai 
khulle onk bro h",118
"selphi stik, mini lyt, shathe stand r blu remote😁
kom daam e valooo prod,, and ol in oan,,ektar vitr,, valooo item er tariph krtei h,",139
ei prodtai shobkichu thik ache ebong apnara chaile niye paren। 100% gjaranti । aamar pksh thke daraz ke countless countless thx,117
sundor tobe blu ta kaj krtechhe na saw bjatario thik ache। tarpro price hisabe onk sundor hoyeche dhonnobad chalachchhi।,116
it mashallah bhal bt lil bit chhuto actly bdt & onk less to ejnj jodi ur mob ta bo he stays tahle it nah nile valooo,122
kub fast  dudiner modhye kub quickly peyechi prodaktti। prodaktti ank bhalo। sob thikthak। tk jemnta chejechhi temntai pichi alhdlh khub bhalo ❤️😍😘tnx daraz ❤️,179
"sob kichu milie khb bhalo amar kub like hichhe sob set-ap kra cilo amar kichu krte hni☺️  but chobi klik kore that die otar batt kinte hbe hto,,, aamar mne h damta r ektu baie hleo bjatarita die diten then shubidha hbe sbar karn esb coto batt shob jaga paoa ja nah",274
"slfi stjande bhlo naa bse thke video kra jabe mi mone krchhi onekta uncha kra jay ekhon unbox rakhlam kichu uncha kra jabe na kub khrp hoice amar sathe fraud kreche aamar sathe, apnra keo niben na",193
apnra chaile nite paro shobgulo thikthak ase kintu ekta shomossha eita lomba kore matite rakhar pore fon rakhle pore jay tobe it hater modhye rekhe kaj krar j prfct,162
e bajete ekti khub e valooo ekti prdt eti kintu eti fon holdartar small etai ek ti bro problem mane beshi big besi boro ph etate hold kra jabe naa tachhada baki sbi thik ace dlv guy r bebahar khb bhlo,205
daam hishebe khrp nah। bluetooth kanekshn hosse। baki laitta 1 minute jble nive gel। charg die look hobe jble kina।,112
"onk kme khubi shundor ek ta prodact peechhi tb bdi r kntrolarta arektu bhlo koalitir hte parto। aamar phoner ojne mne hchchhilo kat he pe jachchhe। tobe batas ashle definitely pbe। still Recommended, price er word chinta krle।",219
slfi stikti average valo cilo & kajo koreche thikthak। tb maan more lil bit vlo hole more happy htam। sadharn bjbharer jonno thiki ase।tobe kichhuta vangga pdechhe।,156
alhamdulillah dbitijbar nilam dam according to ato valooo prodakti ja bolar bahire apnarao jodi chao niye paro।,105
aami jei prodaktti order krchhilam setai paisi khuleo dekhchhi bt abar packing kore basaj nije jachchhi so pkg kra prodaktti onk valooo,144
"alhdlh prodtai hand e peychi।
emon cayechilam ok temni ace olp price er inside jinisti jthesht vlo। 
tnx daraz 💛💛",121
Thank you so much.  mi khubi excited. e prthmbar daraz from kichu kinlam। ekhon bebohar kre dekhar pala।  abaro ank ank dhonnobad।,127
"charge dear pr dekhi uprer batita r camera saport kemn pi।
ar darajke thanks selarkeo dhonnobad।",99
"hate peechhi, diner vitre hand e pelam,
shob thikthak ase smsjanei caile nite paro,
kintu apnader bli",98
"prthmt etite kon charg cilo nah, kichhusm chrg dear por sthik vabe work krtechhe। khubi osadharn product।  caile sbai nite paren। eto less taka hope krini। dhonnobad seller ke and daraz timke🥰",182
"bltei hoi jinisti onek bhalo maner, e dame e jinis vjalu phr mani। eti dije ratre emon sundrvabe chobi tola will go dineo like that besh valooo service paoa jabe। mi to er dbara majhe majhe rate bio pdi 😅।

oneke etar bt kanekt korte paren na, bluetooth suichta chepe dhre rakhben 10 sekend। nil bati jbla shuru koreche, tarpr bt opshne gele Selfie kanekshn dekhabe। klik krle kanekted",381
"aami prthme bujhi nei por bujhlam bluetooth remote lagano ace and ota khola ja।ekhno use krini, kekdin bebohar kre janab।",118
hjan eta avg onnk vlo avg from besi bhal karon ei dame ato valota paoa jay na apnara caile niye paro gaij,119
order korar por seller bole item out of stock.. tahole listing e keno available dekhay?? 3 din wait korlam,106
etar stjandta onek light ojner bt prais considering onk vlo lagchhe aamar kachhe। aamar vj lagtechhil phonta pde jay naki abar; more tall kra will go na ektu choto rekhei kaj kra lagbe। knt etar je pres batn ta ota work krtechhe naa। that bt kanekt kore chobi tole oita work kre na।,278
vhai it kub vlo kajer item u all sobai nite paro aamar it ank kaje lagchhe apnader drkar hole apnaro nite paro khub vlo,121
alhmdu kub sundor ek ti product ke ki paichhen ta mi janina but amarta  100% bhal hichhe।  ami eksathe duita nichhi apnara jodi chao niye paro,145
alhdlh onektai bhal apnara chaile niye paren it sob kichhui bhlo cilo ar dam onujaji onnk bhlo ekta chhinis mashallah that asha krechhilam his/her theke onnk valota peyechi r etar body quality onek bhlo onnk strong alhdlh ।। thanks janai dlv vaike 🥰🥰,260
"e,,slfi stik,ti,,,,, look 100 te 100
tb,, bebahar kre,, eti look jemon tar thekeo  beshi vlo lagchhe aami bjbhare 100 te dibo 
fon,,, rotet kre khub vlo hold kirte pare, 
jhanki dileo after nah so,, etike amar,,, 
kub valooo r karj upjogi mne hosse,,, 
★★★★★/★★★★★★
pnche chh tanra rate,, gave,,,, 
aami mohammd san hasan apn 
mmnsingh, valuka theke,,, all ke tnx,,",374
"khb sundr hoyeche traipd ti। tb amar vj vj lagchhil, mne hchchhil mobailer var ta niye parbe naa।r sob kichu bujhte lil bit shomoy legechhe। iutiube sarch dije dekhe nijechhi। mobile rakhar jajga ta small dekhe tan dite gije lyt unbox aschhe,vebechhi bhenge gechhe 🤣por dekhi oita alada।remote ta rimuv krte ektu tme legechhe। kjekbar trai korechi। more jore presar dile kina khule jay so vje vje chhilam।por dekhi khulechhe। still bebohar krini। but sob kichu milije aamar kachhe bhlo legechhe।1 diner mdhjei dlv pichi। apnarao caile niye paren। mi thkini,asha krchhi apnarao thkben na।♥️♥️♥️♥️♥️",566
"oneker riviuo dekhe khub e vj chhilam naa jen kemn hoi,, hate paojar after dekhlam jthesht primani bhal,, tobe eta dand kranor jnno must bjalens ok rekhe dand krate hbe , mul stant phlor prjnt rekhe baki tin pasher saportar gulo saport er jonno chhdije dite hbe ,ebong ples ta ekdm smtl thakte hbe,rmot tao work krtechhe khubi sundor,,thnks slr and daraz ke,,delivari man o valooo cilo",384
"selfie stik as stjabl ।
knt tripod e rekhe dile phoner ojet e ektu ndechde 
r prais considering qlty oke.on top lit ta yet on hjni। anar pore kichhukshn chrg e rekhechhilam ..still alor dekha paini!...hoyto more bsh tme chrg krte hbe।",241
"average e dame bhal। 195 taka plas lit, mobai traipd, bluetooth remote r slfi stnd, eto subida। 
bt, mobile laganor pr stant kichhuta small hje jai। coz jent gulo arektu valo hoar drkar chilo। mi bndhuder gipht giving jnno 4 piece nijechhi। they besh khushi hobe। ntunder j eti ok ase। 
ei dame er cheje vlo hope kora bokami hbe। but jinishta mone hoi aamar like that kon kaje asbe na। karo lagle nite paro। but kinar ago definitely vebechinte kinben।",455
jemnta chejechhi tar chaite valota vlo quality er pichi। thanks valo jinis amar kaj kora j onk benefit hoyeche।,108
aami amar mner mt pichi onek sundr & qlt ta ank shundor apnra it nite parben and dlvry bjta onek valooo,117
jader ph vari nah tara nite paro coz vari ph e stand nite parena pore ja।taka jinisti valo vabe peechhi sejnj onek ank thx daraz ke shathe delivery mjanke।,168
prdt kubi bhal bt aamar ta remote dead ta diechhe er hisab aami allahr kachhe die rakhlam he/she r hisab niben  inshallah,126
"avg bhaloi,, ami fon die blg krar jonno nilam।bhaloi mone hosse aamar kachhe, tobe aami vabchhilam stand ta ank bo hobe।tobe ja ace eita die amar he jabe।  remote o work krchhe। 

tobe karap naa, valoi, chaile nite paren, ei praijer inside shera dil।",242
"authentic, tbe selphi stik hisebe beshi valo, lait e dirghkshn charj thakbe na, tbuo power bank diye chalano jabe, thanks to seller, authentic pnj deoyar jnj 

daraz ke dhnjbad, sundr kre pjakejing ar delivari krar jnj smymto।

again thanks seller ❤️❤️❤️",258
alhdlh kom bajet e sbchee vlo ekti prdt silo। delibari b r bebahar o onek bhalo chilo। Thank you daraz😅😊,115
"kno kmti nei, bhaloi jinishta।
Light er alo like that ahamri na, tobe jthesht। valovabei work chalano jabe।
Bluetooth Button ta tip dije dhre rakhle On hoy tarpr Connect kre pic tola jai। (jodi Phone r Settings thit thake। Change kora thakle ok kre niye hobe।)
uchchta purota khule upr thke nich prjnt 27 Inch pichi।

So 10 ot of 10

tb loha ta Tripod considering bjbharer smr smpurn nich prjnt ashle bhal hto।

kretader uddeshj: Daraz e shudu photo dekhe product krj krben naa, prdhant chhbite thaka shokal lekhao pdben।
pnjer puro Page ti valo vabe dekhben।
Review gulor inside just Positive Review gulo bsh nah pde Negative Review gulo khujben।
Daraz e bivinn Event gulo sabdhane pde ongshgrhn krben।
pnjer chhbir below ktjn krj kreche ta dekhe kinben।
-----sbcheje gurutbpurn: more taka bjj krben naa।-----
esb pdar jonno thnks। bhlo thakben।",822
"✅ Option 1 

productTa kubi bhal। koaliti amar prtjashar cheje more vlo legechhe। slfi stik and traipd dutoi besh stebl r bebohar krteo khub easy। delivario smjmto pichi। daam according to ekdm perfect prodact। rekmended! ⭐⭐⭐⭐⭐


---

✅ Option 2 

ei selfie stik o traipdti shottii awesome। meterial quality strong & teksoi mone hoi। blu remote bhal work krchhe r ph dhre rakhar gripo strng। phto ebong vid dutotei bebohar kre kub valo phl pachi। pjakejingo bhalo silo r delivery druto hoice। jara kntent krietr ba travel koren, tader jnno great। ⭐⭐⭐⭐⭐


---

✅ Option 3 

pnjer quality kub valooo। traipd sturdy ebong haito ok ase। rmot valo kaj kre। dlv fast pichi। oneke niye paren। ⭐⭐⭐⭐⭐


---

✅ Option 4 

Really good quality selfie stick & tripod. Build quality strong and stable. Bluetooth remote works perfectly. Fast delivery and good seller service. Happy with purchase! ⭐⭐⭐⭐⭐


---

✅ Option 5 

ami phtographi o vid korar jonno nijechhi। stikti stebl, lng sht & rils toirite",999
"eta shottii great silo dekhte emon sundr kajo onk vlo ,,,,, jemnta chejechhi temntai peyechi thanks darajke caile apnarao niye paren",131
chhot kre rakhle valo thake beshi ndbe na। bd krle as a selfie stick valo kintu phon ankabanka krle mane nichu upre pura stik ta pde jaoyar smvabna thake ba  kat hye jaoyar smvabna thake। simple physics. overall valo। 200 theke niche paile kine phelen। ojatach krar je  part  achhe seta onek shkt। tai attach na kre huker sathe balance kre mobail rakhi। delivari 24 ghntar mdhje aschhe। thank you daraz thank you seller thank you choice thank you delivery bhaiya,454
dam onujai bhalo।ekhon dekhte hobe kt day lasting kre and lit r suich work kre। eita ek hat er  beshi long de hat hbe na।,118
vlo lageni ekdmi। phoner ojn ekdmi niye parena pde jai। ebong onnk coto price onujai ahamri kichhui na। and rimottio dejni,120
aami onekdin age amar bndhuke adaish tk dije bt dekhechhilam। sei as kmpejar kore 200 taka dije it nilam। bat mne hocche amar bndhurtar thke eta lil bit lomba less। rimoter suichta ektu prob kemn kemn jani kore। alo kub valo। chrg beshikshn thakle riding lyt as bebohar kra jet 😅😅। charg srbochch tana 10-15 minute stays,326
alhamdulillah sobkicu thik ace eto kom takaj eto valooo jinis pbo asha kori nai apnara caile niye paren r dlvry guy vaike tnx eto vlo bebahar korar j 💝,160
"ei selfie stik and traipdti rlly great। blu remote bhalo kaj krchhe and fon dhre rakhar gripo strng।pjakejingo bhalo chilo and dlv man khub mishuk। jara kntent krietr ba travel koren, their j great।",207
istarn ti onk small mi vabchhilam bhaloi big hbe pasher kon bajar thke kinle aro bhal istarn pawa geto,104
jemnta dekhechhilam ok temni prodaktti hand e peechhi। eto less smer modhye dlvry pabo vabtei parini। countless thx janai drz end seller man vaike।,150
"bro keo nien na,,  amake  kjabl de nai with blu chalu h naa tachhaa aami 4 ta jinis order krechi tarpro amake gipht dej nah",127
"prod khb bhal silo। taka‌ rakhchhe।
kon dhrner shomossha nei।
tobe blu tuth r bat paoa jay na।
egula ghdi mekar er from niye hbe।",137
productTa completely singgel daam according to tk cilo bt dlv charg hojaj dam bsh hoyeche dui diner mathaj prodtai hate peychi no kicu broken naai shobkichu tk chilo ejnj oshongkho thanks,180
"alhmdu sbi ok ase jodi chao apnra nite paren,,
thanks ato shundor prod deoar j no shomossha chhada,,,",113
egulo aamar kachhe thaki prod selfie stnd anar drkar naai ami jeta anaichhi bad batt det damaged mal,104
khubi shoshta maner ekta slfi stik dam onujai ki blbo bujhte parchhina but mob bsate kosht hoi traipd hishebe bhalo na।selfie stik hisebeo lil bit riks theke will go। niye paren।,171
vhai mshllh itemta hate paise amar kachhe to ank bhal lagchhe prodaktta khub vlo but dite lil bit taim lagchhe still malta bhal now konmte it valo vabe chllei chole u all chaile niye paren,185
"prodaktta avg bhal । it plastic qlt। and etar hjandelta ottao valo nah। motamuti chole। apnra chjalen niye paren। ato kom takar vitre asha kori etai vlo hoyeche। r phonta nije selfie stige lagale lil bit peke jachchhe, mne hocche broken jabe। tb motamuti valoi hoice।",272
oshongkho thanks seller vaike। khub valo prod r dlv o khb quickly pichi। all nite paren। selari khub jtn shkare prod pathal। esb selarer jonno daraz ke aaj trust kora jai। kichu kicu shomoy kichu kichu slr onk kharap kichu pathaj। thx daraz & seller ।,270
"This product is too good.jemnta dekhechi temntai peechhi,duidine dlvry die diechhe।dhnjbad slr ar darajke।",108
"price onujai kubi bhalo quality er , tobe blu bhlo preni,  jar karne ektu mnta bad he gechhe,  jai hok bepar na u all jodi chao productTa niye paro dhonnobad darajke thx dlvry mjanke,",181
"⭐️⭐️⭐️ 

slfi stikti avg valo cilo ebong kajo kreche thikthak। tobe standard aro lil bit bhalo hole more happy htam। sadharn bjbharer jnno thiki ase।",140
tnx drz ke parseler pkg kubi shundor chilo alhamdulillah tin dinei delivery peychi bat gipht dejar word duita diyeche ek ta,133
selphi stikta onekta valo chhil eta vabchhilam otta valo hbe na kintu delivery men ar behavior akdom e krp chilo,109
ami prthme vabchhilam malta valo hobe na ato less takaj but now hand e pie dekhte pailam chhbite ja dekhchhi bastbeo tai apnra caile nite paro if apnader kaje। lage vlo prodact giving j  onk onk thanks daraz ❤️,216
"upkari ekta prodact। baki…jene rakha jruri je slfi stikta pripurn bro krar pr setar size hlo matr dui fit, r laiter bat bjakap ekebarei kom anumanik 10 from 15 minute tb laitti charjing sistemer। ar rimote charjing er kono sistem naa,- batt phiksd
sob milije daam according to thiki ache completely kharapo nah।",314
"awesome ekti item,  laiter pashapashi blututher phangshntao darunvabe work krchhe।

slfi lavarder j valo ekti gejet 👌",112
price e less hleo jinishta kharap tar cuz hocche stand valo noy nrmal mobailer var shj krte pare nah apnra jodi nite chan it nah neojatai vlo,139
"thx daraz ke, mi selfie stikti khb bhaloi pichi। delivarir men ank bhlo। thanks delivery man ke eto shundor prdt giving j",138
stik take dekhe mne hoy selphita bhaloi slfi stikta but ekhon dekha jak kttuku valooo hand e to peychi,99
jara bhal manush tara obosshoi bujhben । ei ponno je niben take r ki blbo । kom price e ei pnjta prfct ur j । chaile apnio niye paro । ❤️❤️,141
plastic koaliti besh bhlo। hait ek hater thke kinjchit besi। elidi light besh bhalo alo de। shobkichu milie bhalo।,110
alhmdu onek sundr ek ta prodact। eto kom dame eta ank bhal। but blu kivabe chalo krb bujhte parchhi nah।keo jodi ble dao onnk vlo hoto।,146
onk onk thnks drz ke and seller ke  hate pie onek khushi mi batnti onnk sundr vabe kaj kore sbai nite paro,112
"awesome item,  puro tk thak vabe hate pejechhilam। 
bt mjanujal chilo naa। iutiub dekhe shikhe nijechhi kivabe iuj kre!
khb valooo product।",139
"prodakttir price considering thik ase onnk bhalo prod kintu er nicher stjandsti onek patla badi no fon pde jete pare 
again upore jekhane fon atkano hoi seikhane valooo saijer fon atkate gele onek pjara trouble feels ank mi xiomi redmi 10A chalai blootuth kanekshn hoi,, onk sundor  lyt ace।

[overall daam as onek shera knt stjandgulo more bhal hoja drkar]",371
bhal but batne problem item khb bhalo ur niye paro dlvry man r achrn khb valooo apnara nishchi to it nite paro,120
"alhamdulillah kub bhal ponno peyechi productTa oshadharon e price e e ponno paoa almost osmvb markete r dam onnk more u all chokh bndh kre nije niye paro, aami notun blging shuru krechi so amar prtidini eta drkar hoi, ebong valo srvc dichchhe। slr vhai ke countless thnks।",267
alhamdulillah intek ebong sundr ekta prdt। sobkicu ekdm prfct ache।apnarao niye paren valooo hobe kubi,105
"etar dhrle primijar primijam feels daam 170,hleo eta 500,takar onk sephi stik r chaite ank valooo ebong light rjechhe lomba onk",125
"gtkalke batul mokarrm msjider  phutpater markete daam jijnjes krchhilam 300 tk chailo ekdam,  alhdlh price e and mane prdt  onk onek valo apnara chaile chokh bujhe niye paro। onk bhalo damer tulona।",206
"packing shundor cilo and pnjer quality prtjashar cheje valooo। lightweight, strong & shje bjbharjogj। bt quick sngjog hoi, chobi & vidior jnno ekdm perfect। e price er modhye quality ekkthaj awesome। smpurn satisfied।",205
bhlo laglo itemta। tb blu er kanekshn ta khb distarb kore।chhee de kanekshn। and laita beshikhn chrg thake naa। tachhaa istik ta bhlo।,135
alhdlh itemta onnk bhlo paisi chheler vaike onek thnks pashapashi dbara ajkeo oshongkho tnx prodaktti onek bhal ace je keo nite paro,144
"eta besh bhal। lyt besh ujjbl। valooo। tb ektu hard, and iuj korte gije ektu bjatha peychi। kicu jajgaj again lil bit dhila mne holo setao bujhar mt nah।

actly vlo bla jai। bhlo hoi Flash Sale r shomoy nen।",201
"motamuti works , price according to thik ace r ektu more hope krechhilam । qlty bsh ek ta vlo lageni। 
prpheshnal der jonno it neoja uchit nah।",136
ank asha nije slfi stikta order krechhilam ur eto bad prodact diben it klpnao krte parini । erkm krle customer kivabe paben apnara blen it no bijnes hlo। ami nijeo ekjn। kastmarke erkm noshto prdt ken dhrije den apnara apnader bichar allah krbe। phaltu ekta prdt keui niben na।,296
bhai itemta vlo bat amake suita gave sei suitate kaj krchhe naa amar। seller vaike blchhi mi ajke itemta nijechhi। mi ki rtrn krte parb ba kivabe ektu blen to।,162
jti praise kori tti less khub e sundor ek kthaj otulnij opurb all nishchinte nite paren 💯💯💯💯💖💖💖💝💝,96
eta ki bujhte parlam nah ar phone stays nah pore jai belens rakhte pare na tai mn bad eto bdt dije ojhtha nijechhi 🥺,110
poste dekhlam sathe bt divais ace ki no blu to pelaam na rmot kntroling bt। emni to prdt thik ace knt no bt  to pelaam naa।,149
