sentence,character_count,sentiment
Thik jemon cheyechi temon peyechi. Sobai kinte paren. Kono shomossha painai. Thank you seller k.,96,1
"shob thik ache bt beshidin tike ni!! nosto hoye gece, warranty onek kom 😒",73,0
Ei product ta ami keu kinte bolbo na.,37,0
Ami amar taka ferot chai shighro.,33,0
paint set colors ektu fade type. bright colors expected chilo,61,0
Data waste hoyeche ei Daraz er jonno.,37,0
product legit fake!! barcode scan korle kono result ashena. original er barcode scan korle result ashe. duplicate dhoriye diyeche 😤,131,0
ja order korlam ta painai,25,0
Goood quality 🩶,15,1
packaging ar kheal korte hobe!! detergent 1ta chhire gece. ei rokom hole customer er loss hobe 😒,96,0
Daraz keno erom faltu seller der promote kore?,46,0
Quality ato sosta je hat dilei bhenge jay.,42,0
Amake used product diyeche notun bole.,38,0
"dam onujai sound quality onek valo.. call a kotha bola jay Suna O jay ... 
10 a 7 mark dewa jay look ta arektu valo hoile 9 dewa jaito",134,1
same yo same peyechi thank you so much ♥️😍,42,1
duibaar niyechi ebong valo vabe peyechi.,40,1
Screen resolution kharap. Chobi fete jay.,41,0
1 packet er mrp 70tk kintu daraz e 2 packet 320tk mane proti packet 160tk mrp dekhiye 68% discount e bikri kore protorana korche.,129,0
today i received the product nd yeah It's good at first sight,61,1
Ami Daraz ke recommend korbo na.,32,0
"Age 500 gm er ta nisilam. Vlo dekhe aiber 1 kg ta nilam. 
Alhamdulillah vlo",75,1
Alhamdullillah khub valo product..samne aro. onnnekk kichu neya hobe inshaAllah🤲🤲,81,1
daam onujayi khuboi valo product.,33,1
awesome....onk kom takai pelam....valo product....thankyou daraz...thankyou seller,82,1
eto olpo + maan onek kom!! ekdom valo na. keu neben na 🚫,56,0
vloi,4,1
"shotti bolte ei coilti onek valo. kintu jevabe daam barteche mone hochhe aaro koydin por dukan theke aante parbo. sorboprothome niyechilam 80 takaay, ar ekhon 110 taka.",168,0
darun,5,1
ordered last month still pending... customer care o response dey na. disgusting service,87,0
Hathat kaj kora bondho kore dilo. Just 2 days.,46,0
"Delivery late, product broken. Ei Daraz keno erokom hoy!",56,0
khubi valo maaner prod kidna lol!! kapor kaachle kaproer 13ta beje jay + hater obostha kharap. eta ki mane eto good hobe? ridiculous 😑,134,0
"mukhe jala korche!! kono kaje nai 😡 kom daame valo kothay hoy, mukh nosto hoye jabe ei diye",91,0
onk soft .. jmn dekhaise omn e,30,1
masala mix smell authentic!! cooking e use kore family satisfied,64,1
delivery man product ta door e throw kore diye gelo!! box crush hoye gelo. kono care nai 😡,90,0
mota moti bshi balo na,22,0
"this product still I don't open but the delivery charge of the product is high,I am highly request the management for reducing delivery charge.",143,0
ei prod er moto eto kharap jinis ajoporzonto painai 😡,53,0
thank you seller.kindly delivery charge ta komai diben,54,1
"shob thik e ache, kintu dan kaner ta shoo shoo sobdo hochhe aaltime.",68,0
Sound quality temon valo na,27,0
I'm reporting this to consumer rights.,38,0
3 maser bacchar jonno aktu boro..valo nahhhhhh,46,0
"Ekhon theke shop e giye kinbo, online er upor trust hariye geche.",65,0
"bhai product dekhte sundor kintu quality te 0/10. plastic er moto feel, money waste",83,0
valo motamuti. neoa jay. babohaar kora kichu ta jotil.,54,1
dam onujai thik asy,19,1
"Good Product, Nice Fragrance, Receive In Well Condition, Very Fast Delivery, Thanks To The Seller & Daraz.",106,1
onek Valo order Korte paren,27,1
Daraz thke r knbo Na kokhno,27,0
ei milaya 2nd time order korlam khub balo oacket er gaye 130 tk lekha,69,1
cashback offer properly apply hoilo!! total discount satisfied kore dilo,72,1
price onojai amr kace thik thak akhn kapor er jonno kotota usable pore buja jabe.,81,0
balo,4,1
jump rope adjustable!! smooth rotation. kids o use korte parche,63,1
purai duplicate prod!! daraz er uchit ei seller k delist kore deoa. faltu 😡,75,0
"etar age jatogulo product order diyechi shobgulo chilo valo, kintu idanong ei je productTa asheche khuboi kharap. mone hocche puran puran. ei product ta ami return korte chacchi.",178,0
Return policy ta pura maze.,27,0
dui jayga futa chilo onekkhani pora gacha. pacaking valo hoy nai,64,1
fast dellyvery.product original but Himalayan face wash vlo na.full use kore review dilam. Delivery man new last 3bar dlvry disilo extra tk khuje.amnete cl dia tk khujsilo lol.ar por theks order di na r daraz a,210,1
Same as the description. Good quality. Recommended.,51,1
er age kkhno aita use korini but product dekhe valoi mone hocche...akhn use kore decide korte hobe next time abr naoa jabe kina...,130,1
thank you sir.ato sundor akta review deor jonno,47,1
as usual ager motoi valo silo. chaylei nite paren,49,1
Khub kharap quality. Daraz er theke eta expected na.,52,0
"Good Product also value for money, Recommended for purchase.",60,1
"ei baar daamt ektu besi niyeche, jinish valo i, ageo niyechi.",61,1
Bhalo review shob fake. Seller er lokjon.,41,0
original product.. thanks seller kom price e deyar jonno,56,1
onk valo.......porimane besi....forsha hoye gesi dia,52,1
Onek Akta Products Nite Paren!🤝,31,1
ami noshto peyechi.,19,0
"Jodi taka ferot na pai, tahole complaint korbo.",47,0
very poor quality I want to back it,35,1
Kichu kaj kore na. Dead piece.,30,0
"Offline kinechi ekta, bhalo chilo. Online e srabon.",51,1
coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo coin lagbo,131,0
Original na jene order korai amar sobcheye boro vul chilo.,58,0
"Face wash ta amar khub valo legeche
You guys can give it a try",62,1
"Good product perfectly warking.
Thanks.",39,1
nice product 3 ta use kortesei,30,1
mask ta use korar 30 min por face tight feel hocce. love the result,67,1
alhamdulillah vhalo..ageo niyeci akhon abar nilam,49,1
valo.baccha pochondo korche. but chobi te jei item gula ache oigula same to same nai,84,0
brush ta khubi valo.onek soft.fast delivered.10/10,50,1
"Camera focus hoy na, shob blur photo.",37,0
Mon kharap hoye gelo dekhe. Expected na.,40,0
"powder er scent sundor bt quality rin/fast wash theke kichuta lower!! tao kharap na nite paren. order korar porer din delivery peyechi, that part valo",150,0
packaging valo chilo. kintu coil gulo valo na. valo kore jole na.,65,0
Khub Baje Akta product  Keo nibennaaa amr taka mair gelo,56,0
Never again. Daraz is dead to me.,33,0
"coilta onek valo, jalale mosha thake na.",40,1
singer toothbrush amake deoa hoyni!! pathonor byabotha koren 😒,62,0
daam onujayi jinish valo.,25,1
I have ordered washing powder twice. This time I got gift! Thanks.,66,1
"Alhamdulillah! as I expected. value for money
100% authentic product.",69,1
"prod valo chilo bt delivery experience otyonto hatashojanak 😢 delivery man bollen address er rastay ashe parbena, ei elakay ashle 'extra tips' lagbe!! bazare 30 min opekha korailen, boltey ultho tork korlenn. age er delivery man gulo kono shomossha chharoi ditenn. ei jonno 4 star dilam, mone hoy na ar order korbo jotodin ei delivery man ache 😅",345,0
 meyad er date ta bujai jacchilo na,35,0
thank you sir.ato sundor akta review deor jonno,47,1
ata vlo,7,1
thank you sir.ato sundor akta review deor jonno,47,1
akbare authentic product paisi apnaraw nite paren,49,1
everything okay but smell is not so good as expected,52,0
"Delivery charge o gelo, product o bekar.",40,0
jmn ta asha krchilam tmn ta na,30,0
2027 sal porjonto meyad ase. quality valo. recommend,52,1
"pkg chhera chilo!! redx delivery man boro beshir bhag e boro jhamelar. cod zero thakay sujog peyeche. baro bhab koreche, 100tk extra dite bollo. onek chitschere kotha bollo. force e taka diye parcel nilam. daraz e complaint dite gelam bt auto message. delivery experience khub baje chilo 😤",289,0
jemonta order korsi temonta deyni!! baje prod. roja mas kichhu bolte o parchhina. takar chulokayi thakle nite paren 😒,117,0
Ei product ta 1 star o deserve kore na.,39,0
"best product,,  jemonta ceyechi temon i peyechi..❤️
caile nite paren",68,1
shirt er size S order korsi medium ashche. ekdom fit hocce na,61,0
Good product and discount a onk kome pelam,42,1
Colour chaisilam black disi red...But product valoo,51,1
Seller response kore na. Shudhu seen.,37,0
facewash ta vitore kom kom mone holo,36,0
khub baje product.charger port valon abong packaging valona,59,0
Ei jinish ta kine amar mon vanglo.,34,0
Time o money duita nosto holo.,30,0
cute and good quality. Bakira chaile nite paren.,48,1
product hisebe valo ache kintu charge hote onek shomoy lage ebong charge beshi khon teke na.,92,0
2 weeks dhore use korchi valo produt chaile nite paren🤍,55,1
Product gulo dekhe authentic mone hocche... kom daam e onk valo paichi Alhamdulillah.. Baki ta use kore buja Jabe..,115,1
prod valo bt delivery onek baje!! ekhono stand giye ante hoy 😒,62,0
Powder ta Ektu normal Mone hocche date over erokom type er,58,0
assalamualequm Alhamdulillah valo products sobai netai paren ❤️,63,1
coffee ta onek tasty!! aroma o boro boro. morning perfect 🌅,59,1
Alhamdulillah vlo sovai nite paren🥰🥰,36,1
onek sundor...😍😍😍😍,18,1
Black ta order diyechilam orange colour ta diyechen... disappointing...baki shob thik thak ache.,96,1
"ei nie dwitiyo baarer moto nilam, khub valo.",44,1
skipping rope handle 3 din e break kore gelo. cheap plastic,59,0
Daraz er quality department ghumiye ache naki?,46,0
2ta nose cleanser + 2ta chhoto brush order chilo bt diyeche 1ta!! vul hoyeche please 1ta solution den 😥,103,0
"daras sob chor dia vora,sob batpar daras a",42,0
jinis ta 2 din use korte na korte nosto!! 500tk er product 2 din o tikhe na. daraz quality check kore na? 😡,107,0
Alhamdulilllah 2ta products ordr korechi khubiy valo,52,1
The material feels cheap and flimsy.,36,0
Keu kinben na ei product. Warning.,34,0
"size chart dekhe M order korsi, ashche XL!! return process boro jhamelar, time nosto 😒",86,0
Amar review Daraz delete korbe.,31,0
prod onek valo paisi bt amar prod e counting system chilo na!! ar ami vul kore delivery man ke 50tk diye disi 😅,111,0
khub sundor  baccha khub happy hoice  R khelna ta mojbut onk,60,1
reasonable price ei pelam.date er meyad 28 sal porjnto. thanks seller ke original product Taratari pathanor jonno,113,1
khub valo ekta product. kichu din use korlam. sound quality khub valo. apnara chaile nite paren.,96,1
eta second time nilam khubi vlo scent taw shundor kapor dhoya o sohoje hoy beshi fena hoy na tobe kapor dhoya vlo hoy ..,120,1
"shudu maus peyechi, keyboard painai!! ekhon ki korbo??",54,0
daam hisabe valo jinish❤️,25,1
counter ta niye chilam alhamdulillah valo porse,47,1
"My money, my mood, everything is ruined.",40,0
door mat size description theke chhoto ashlo. misleading listing,64,0
daraz theke shobsomoy e kenakata kori. alhamdulillah onek valo hoyeche🖤 dhonnobad daraz ebong seller ke.,104,1
Himalaya facewash is always  favourite to me. I like  to use this product  very much. Thanks for fast delivery.,111,1
Bulb 2ta ash bar kota ashse ak ta ta o fata dibar kota tader disen pin er asudami koro ni manush ki free te nay tk lage na nite naki,132,1
2nd baar kinlam. dokaan theke onek kom daame peyechi.,53,1
Daraz theke eta expected chilo na.,34,0
lipstick color payoff onek boro!! long lasting o. daraz er best buy,67,1
"dhonnobad daraz ebong seller ke ami jemon cheyechi temon deoar jonno. abar o order dilam, ekhono ashe ni.",105,1
masha allah onek sundor product💕💕 je keo nite paren💕💕,53,1
"Warranty card blank, etar mane ki?",34,0
"colour ekdom pic er shate match kore na!! description e 'navy blue' likha, ashche 'black'. misleading listing 😤",111,0
onek valo products. besi pelam na.thanks daraz.,47,1
"Product er upor onek moila chilo, mone hocche koyek bochor dhore store room e pore chilo.",89,0
"Amar shomoy, taka, energy shob waste.",37,0
thank you sir.ato sundor akta review deor jonno,47,1
"prothome i bolchi maal valo, kintu ek kaaner sound beshi aarekk kaaner sound kom. seller er shathe jogajog korar pore o kono shomadhan dei nai.",143,0
thank you sir.ato sundor akta review deor jonno,47,1
product te asolaw valo.  use kore review decce caile apnara nete paren. trusted page. but wather proof hobe kina jani na ba koto toko wather theke bachabe jani na.,163,1
khub e Valo,11,1
Offer a 90tk kore 1 kg niyechi. Khub e valo. Baire 130 taka kore kg.. Budget friendly,85,1
order korlam akta r dilen r ak ta....,37,0
Owao. Face wash ta khuboi Valo. And Aitar smell ta to pura pagol banay dey.😜😜,77,1
Ei jinish kinar theke na kinai bhalo chilo.,43,0
"valo product, ami amar friends ra 8 ta kinechi 8️⃣",50,1
"kom daamer modhye onek valo product peyechi, tnx.",49,1
very nice product..  mettter r sob kisu e valo kaj kortase... ojon barano komano sob jay.tnx daraz..  but colour ta orange na diye black dile r o khusi hoitam,158,1
fabric soft ache bt stitching quality khub kharap. 1st wash e tore gelo,71,0
motor 1 week e nosto!! cheap quality motor diye diyeche. brand name use kore local jinis dicche. total cheat,108,0
Ami toh money back guarantee o pabo na.,39,0
Ami Daraz theke r konodin kichu kinbo na. Erom faltu experience ar chaichi na.,78,0
"good, valo poriskar hoy.damer tulonay man valo ace",50,1
Good product according to the price,35,1
backlight nai to..!!!,21,0
24 pis tik acy tnx seller & daraz,33,1
product Khub e vlo . use korci vloi mone hocce,46,1
"Battery backup 0, charge thake na. Kine pashchatap.",51,0
Ekta essential part missing. Kono use i korte parchi na.,56,0
Ki korbo bujhte parchi na. Taka ferot chai.,43,0
product damage chilo,20,0
"all ok tnx daraz
sobia nite paren❤️‍🩹❤️‍🩹❤️‍🩹",45,1
khuv vlo product,16,1
"Amar order notun chilo, kintu used item.",40,0
"cheyechilam kalo, diyechen lal!! delivery o thik jaygay ashe ni, ami agiye porte hoyeche. ei prothom erokom holo 😒",114,0
Very good product. my pricing 270.,34,1
"277 Tk Total Offer Price 
Real Price 390 Tk 3 pcs ..
93 Tk Kore Porche 3 pcs niyechi so free delivery asche .. Sob Miliye Valo Poreche ..
Packaging ok 9/10
Delivery Rider 09/10",176,1
"dekhte sundor kintu jinishTa halka, tike koydin ta bujha jacche na.",67,0
Daraz er theke ar kichu expect kori na.,39,0
jmn dekhano hoica thik tmn e peyeci.,36,1
I'm satisfied with this product for price ...💝💝,47,1
"This product is useless, zero value.",36,0
">I think seller colour blind, because ami sure ami black ta order diechilam.
>Color Family: black✅ niche lekha ache.
>Seller product ta jotne rakheni, product ta moyla.
>Jong dhora product?
> Adjustment screw ta problem kore, but kaj kore.
>Overall useable tai 2 star dilam.
>Don't recommend this seller.
>Aro valo seller ache jara actually customer er preference and quality k importance dey.",393,0
wrong product delivery peyechi...Totally disappointed!,54,0
I'm literally birokto with Daraz.,33,0
Good product and good service. Price also reasonable.,53,1
"sound quality Normal,  R connet hote aktu time ney",50,0
tobe dam last 1mnt e bere gache pocha flatu,43,0
My experience with Daraz keeps getting worse.,45,0
very good quality n products this price,39,1
1 ta nosto,10,0
goddd product😊💗💖💝,17,1
pages kub vlo chilo & product tao vlo.  je keo chile nite paren,63,1
Seller amake misguide koreche. Wrong information.,49,0
vlo sobai nity paren,20,1
Product onek heavy. Haate dhorte pari na.,41,0
according to price mutamuti bhaloi ache 👍,41,1
very good sound and battery quality.  and delivery was really quick. packaging was really good. there’s no way to be damaged,124,1
Vai Er Pacaging Silo Just Wow. Ageo Use Korsi Valo Product,58,1
Bhalo products...Aro Daraz mall er recommend,44,1
"bhai ki eta? eto durnoiti keno koren. keo neben na, valo na. box vori korar jonno lohar tukra diyeche. taka apacho na korte chaile keo neben na. faltu.",151,0
daam hisabe valoi. chaile nite paren.,37,1
Kono kaje lagbe na ei product.,30,0
order korar shomoy vabchilam vanga pabo kintu valo vabe peyechi. apnara order korte paren.,90,1
"smell ta boro kharap, chemical er moto!! mukhe deoar 5 min e burning feel hocche. skin irritation shuru hoye gece 😨",115,0
Minister er One wash. ami onek gulo neyechhe.valo.nite paten.,61,1
"Ami ekhon ki korbo bujhte parchi na. Jinish ta o bekar, taka o gelo.",68,0
just awesome akta jinis,23,1
Ami janotam na Daraz e erom faltu jinish o thake.,49,0
"Product size choto, chobite onek boro dekhechilam.",50,0
skin friendly.. feel refreshing after use.. thnx daraz,54,1
akner nisi abar nilam druto sesh hhe jay karon onek patla besi ghono na facewash ta...valo kaj kore oily skin e,111,1
"Onek din pore order receive korlam, ar dekhi product ta broken.",63,0
onk valo alhamdulillah.... pakeing o valo cilo,46,1
"faltu prod!! headphone er sathe kono charger nai. quality o faltu, durable na. charge 1 ghontao tikhe na!! prothombar daraz theke eto bochor pore dhoka khaisi. seller er uchit shototar shthe kaj kora",199,0
Amar Daraz experience kharap theke kharap hochhe.,49,1
khub Valo products.no smoke products,36,1
Didn't know Daraz sells such garbage.,37,0
"good product, as good as rin or other products.",47,1
Mashallah onake valo.use kora review delem,42,1
"daam onujayi besh valoi. onek product er shathe niyechi, courier service lagey ni tai ami sashroy hoyechi.",106,1
khuv valo,9,1
. Online e shudhu dhoka.,24,0
thank you sir.ato sundor akta review deor jonno,47,1
"i didn't get any brush as i ordered,
instead they gave me an extra toy which i ordered 2 of them",96,0
100 theke 100 diboi karon eta shob dik thekei valo. ar apnara nite parren. ami to aro nebo💝💝🦋,93,1
Original er naame onek low grade product diyeche.,49,0
Daraz ar ageer moto nai. Khub bekar.,36,0
Shob review fake mone hocche. Amar experience pura ulta.,56,0
"onek kom dam a peyesi.. 115tk...
use kore dekhi kemon",53,1
"onek sundor ekta product, amar khub pochhhond hoyeche.",54,1
prod gulo thik chilo bt pkg ekdom baje r chhera!! daraz pickup point theke nite giye dekhi duty wala scotch tape diye pechiye diyeche. care zero,144,0
Daraz ekhon fake product er hub.,32,0
Valo na ekdom valona moteo Valo na khasta Valo na onek valo na,62,0
very Thank Daraz,16,1
Product e scratch chilo. Seller ignore korche.,46,0
"Motamuti Tamon vlo o na Abr KHUB baje O Na"" Choloman.",53,0
kena hoye gelo bt tracking update e nai!! 1 soptah dhore 'shipped' e atkhe ache. daraz app useless 😤,100,0
I think in this price it's best hand grip and :- little advice when you order this hand grip with counter make sure after order tell seller inbox about which colour you want.,174,1
Seller kono response kore na. Daraz CS o useless.,49,0
offer dekhe order diyechi..one wash detergent oto balo noy ...jama kapor clean hoy na balo moto .onk powder dite hoy wash er somoy....,134,0
5-star review-er jonno onek onek thanks! Offer thakbe – abar visit korben! ❤️,77,1
Ata mita multi valo,19,1
Product description pura mitha.,31,0
freshwashta onek valo kinto dam ta ekto Kom hole valo hoto 🥰,60,1
"Daraz, tomar game up koro.",26,1
daam onujayi onek valo. sabai nite paren. ami 2 dine hatey peyechi.,67,1
Return policy ta ato jhamelar je mone hocche jinish ta phelai diye notun kinbo.,79,0
"jemon dekhechi shem paichi, onek valo.",38,1
Excellent 👌🏻 Product 190 Tk r best products,43,1
ekhono use kora hoy ni🙂,23,0
The mosquito coil is useable and  serves purpose.,49,1
Daraz e keno erokom cheap product beche?,40,0
bhai light ta 15 minute chalaano r pore ei rokom. return kibhabe dibo? daraz er ponyo ei rokom ki hoy?,102,0
Not bad vloi price hisabe.,26,1
Amar taka pura pani te gelo. Kine vul.,38,0
fruits set tar price ektu beshi quality onujai...,49,0
packaging valo cilo na.ekta pura ee nosto hoye giyecilo,55,0
Aita 50 ml o na. hudai 100 ml bole sell dicce! vitore 70% hawya diye vorti.baki 30% ki chemical diye banaise orai valo jane 💔👎 order dile cuna. ( 5 star rating dilam jeno comment ta upore show kore) otherwise ⭐ 1 star,217,1
fabric quality boro kharap!! 1st wash e colour chore gelo puro. rongdhonu hoye gelo kapor 😭,91,0
onek kharaf kew niyen na,24,0
Khub disappointed. Amar expectations er theke onek niche quality.,65,0
valo kaj kore.....................fana o besh valo clean o hoi valo.,68,1
"coilta valoi karyokori. mosha thake na, ar dhowao kom.",54,1
ei daame jinishTa onek val peyechi. dhonnobad daraz ke.,55,1
"Original products. good packaging ❤️
Thanks for fast Delivery",61,1
ekdomi baje product. sound quality ekdomi vhalo nh.build quality o temon vhalo nh.music er bit thik moto ase nh.ek kothay ei price e ekdomj baje,144,0
fabric quality khub valo!! stitching tao neat. satisfied customer,65,1
onk balo,8,1
Daraz is a platform for selling fakes.,38,0
khub sundor ame ai gula nisi ai page thake khub e vlo r kajer o,63,1
"Alhamdulillah , Product was good.",33,1
😍😍 Valo,7,1
"Onek din dhore Daraz use kori, ekhon oboshyoi bondho korbo.",59,0
"Hotash, ekdom hotash. Kichu bolar nai.",38,0
Daraz ekhon amar blacklist e.,29,0
thanks for daraz and Sellar men khubi valo product /,52,1
"osombhob valo gulop gulo. shotti khub valo, 9 ghonta ei group gulo protect kore. nihsondehe nite paren sabai.",109,1
seii,4,1
poriman lagche beshi + dekhen arcthek i nei vitore!! dhoka dicche customer der 😡,80,0
"parcel koekjaygay chhera!! paperfly theke nile protita parsel e ei obostha pai. MRP 130, meyad 2026 😁 upore gifter polly peyechi bt jinis pailam na, shudu khali polly attach ache 😒",180,0
Nice thing but I was wanted black ⚫  they give green . But nice I 👍  that.....,78,1
khubi halka!! ohetukok mone hocche. mon ta kharap holo 😔,56,0
"dhonnobad seller ke, jodio onek din por review dilam.",53,1
prod onek valo kintu ami ei product er sathe kono charger pailam na!! charger missing 😒,87,0
aikane ghor dekano hoise 3ta kintu dewa hoise 2 ta ata tik noy,62,0
"35 bochor dhore eto eto coil babohaar korlam. eitar moto eto faltu coil ami jiboneo pai nai. mosha jay na ekta o. eto noromo je plater modhye lege kichu khon por por nibhey jay, khuboi biroktikar. stand o dei ni shathe. taka loss.",230,0
matha betha kore.,17,0
headphone bajei na 😤 total waste,32,0
"block gulu khub sundor 24 Peace silo quality o balo 2 set kinesilam same same paice nice product 
Thank you Daraz 🖤🥰",116,1
"products Quality Is Very God,,,And Smell Also Very Nice",55,1
"Ei powder ta ami ageu 2 bar nisi, onk valo kaj kore,,, 👍",56,1
to well . amr kase prize onuzayi onk valo lagse,47,1
1st jeta cheyechi seta painai. 2nd jeta diyeche seta o nosto + duplicate!! daam onek beshi niyeche. jinis ta onek kharap. keu kinben na 🚫,137,0
"product er expiry date check korte parini, label blur chilo",59,0
baby der teeth er jonno khub e important products,49,1
era shob nokol,14,0
"dukkhito, shontushto hote parlam na. babohaar korar agei prottek bundle e 2 ta kore coil kom ache.",98,0
facewash ta vlo packaging o vlo delivery within 3 days outside dhaka,68,1
kom dame valo jinis. tobe ektu boro bacchar jonno temon effective na.,69,1
Alhamdulillah onk onk vlo cilo,30,1
alhamdulillah jemon dekhechi temon paichi thx daraz ke and sellar ke apnaraw caile nite paren,93,1
grip onek valo!! 2 din use kore review dicchi. bt amar order chilo black color diyeche anoyo rong!! ta chara shob valo nite paren 😒,131,0
customized chocolate box. whatsapp 01616974851.,47,0
"vul size, onek boro/choto. Fit hoy na at all.",45,0
valo nite paren✅,16,1
"Happy with delivery system, parcel received within 3 days ♥️♥️",62,1
sound quality and charge backup good,36,1
Amar frustration ekhon akashe.,30,0
mukhata vangla cilo..bakita vloi mone hoice..tobe beboharer por gongoto man dekha jabe..kinto banga product deoa thik hoini,123,0
hmm apnader prodak ta onek valo lagche amar thake,49,1
khubi baje prod!! keu neben na 🚫,32,0
dam hisebe khub valo kaj kore onek bubble hoy.packaging valo chilo.,67,1
"Daraz er support staff ra shudhu golpo kore, kaj kichu kore na.",63,0
packaging secure chilo!! item intact peyechi. professional seller,65,1
valo chilo onek apnara nite paren sobai,39,1
thank you sir ato sundor akta review deor jonno,47,1
Alhamdulillah price onujayi thik ache.... 1 week use kore review dilam,70,1
seems nice and product is authentic,35,1
"2ta order korechi, 1ta chhiri gece + lighter er obostha kharap!! keu neben naa 🚫",80,0
dress ta arrive korse bt 3 size beshi. return process boro jhamelar,67,0
"NOT BAD.BUT MONE HOSSHE BESHI VALO HOBE NAH...HOPE IT WORKS WELL IN SHA ALLAH..!!!
SIDE EFFECTS NA THAKLEI HOY💥💥💥💥",114,0
"order korechilam white, diyeche off-white. noticeable difference ache",69,0
"It's come to me with good packaging, i like it. bow after charging i will use it and see is that as better as look.",115,1
"package chhera chilo!! baje vabe packet kora chilo. prod quality valo, shobai nite paren",88,0
bhai eta chok bazar er bangla maal!! keu kinben na 🚫,52,0
"jamon ta cheyesilam temoni, product ti vlo. onek useful.",56,1
product is also good this price is perfect,42,1
quality ato bhalo na,20,0
packaging delivery time sob vhalo chelo ekhon o use kora hoi ne,63,0
Amar shomoy o taka duita nosto holo.,36,0
"Ami onek din dhore Daraz er customer, kintu erom experience age hoy nai.",72,0
"1ta eartip nei + charging cord o deyni!! 🤬🤬 moteo recommend korbo na, khub baje",79,0
valo onek.,10,1
right is not working. Not recommended. Tk nosto,47,0
Very good product. I satisfied this person. Delivery man is also a good person. Very good product✨✨✨,100,1
ONIK VALO,9,1
Ami toh mone korchilam Daraz trustworthy.,41,1
Very good and useful product,28,1
eto kom price pabo sathe ekdom new manufacture date er product.😊,64,1
valo ..shobai use krte pre. .,29,1
onek onek valo sobai nite paren kono kotha nai ekdom sei Alhamdulillah ❤️‍🩹,75,1
1 din ei nosto!! 1ta e shona jay na 😤,37,0
"ei wheel onk guloi use korlam besh vlo er sathe ekta packet liquid detergent peyeci,,",85,1
alhamdulillah ei price e best product. sabai deri na kore chokh khuley niye felen😁,82,1
Amar matha gorom. Daraz keno erokom?,36,0
"At this price, it’s delivering the maximum possible performance. Expecting anything more in this budget would be unrealistic. However, I can confidently say that in this price range, it’s several times better than the earbuds offered by other brands.",250,1
Product er gondho pure chemical. Matha betha.,45,0
"valoi, sound quality motamuti.",30,1
"All ok, I ordered blk clr but the seller give me red clr👎.  If you give your customer your own choice clr don't sell anyone your product.👎👎👎👎👎. Don't buy this product the seller man is irresponsible. He/she don't reply my message 👎",231,0
valo prod. bt prob ta holo valo review dile daam bariey dey!! ekta shomossha 😒,78,0
faltu headphone!! do not buy,28,0
Very cheap and low quality product. it doesn't have any grip also. I ordered black color. they sent me a green one. I am very disappointed.,139,0
"buy now theke select korle shudhu maus order hoy, keyboard boro alada. amra clearly dekhte pacchi apni shudhu maus orderd diyechen. proof ache. na bujhe blame korben na pls",172,0
Ekdom bekar. Ami shokto bhabe recommend kori na.,48,0
onk valo.  2028 porjonto meyad ache. Xoss,41,1
"Chala dar jonno vhalo 
chaila neta paran 
expire date o onk din ar asa",70,1
"Recommended 

4 star bcz of the color, I ordered the black one though : )",73,1
"Delivery charge o gelo, product o gelo.",39,0
purai faltu!! copy prod dhoriye diyeche. vitore jel khub patla 🤬,64,0
sound anke kom.... 😔😔,21,0
Ami jani Daraz amar review publish korbe na.,44,0
shaar apnake onek dhonnobad sundor review deoar jonno❤️❤️❤️❤️,61,1
Seller er behaviour ta khub rudd chilo jokhon complaint korlam.,63,0
seller ghosted after payment!! report korbo surely,50,0
"2nd bar order korlam. prod authentic, no vejo, authorized dealer theke ashe. 107tk kore porche. prod alhamdulillah meyad o onek. shomosha shudhu poriman ektu kom mone hoy 😑",172,0
hatash!! seller ke bar bar boilam prod valo vabe check kore dite 😡 reply thik mato dey na. bolsilam step counter jeno thake ar kalo/S color dite. ki dilo se?? 🤬,160,0
"motamuti thik ache bt prob hocche daam chilo 300tk, delivery charge mile 300tk e hoba kothay, amar kach theke 370tk niche!! overcharged, khub dukhkhit 😞",152,0
akta star o dserve kre na,25,0
"knee support size guide accurate na. ordered M, khub tight",58,0
Offline kinbo ekhon theke. Online e trust nai.,46,0
Scratch ar dent chilo product e. Used.,38,0
"tnx daraz, purchase + delivery te valo service peyechi. bt oraimo neckband lite te ENC feature er kotha ache kintu shada nig band er motoi mone hocche, ENC kaj kore na 😒",169,0
"prod aaj hate pelam, baje kaj korechhe!! meyadutirrno prod sell dicche 😡 ei rokom offer e prod kena theke biro thaka dorkar. daraz er prod verify kore receive kora uchit",169,0
"Kinle jodi pashchatap korte hoy, keno kinbo?",44,0
Keu kinben na eta. Totally trash.,33,0
shob kichu e thik ache kintu sound baire shona jay.,51,0
keu kinben na!! prod er expire date e nai 🚫,43,0
products 100% valo sobai Nita paren,35,1
"order diyechilam black color, diyeche blue color!! ki byabsha korcher obhishondhi nai naki?? ki cheyechen ki diyechen. rater belay keu kinben na. prod quality o ektu valo na 😤",175,0
"return request diyechi 3 din age, kono update nei. horrible after sales",71,0
"return request disi 4 din age, ekhono pickup hoy ni!! helpline e hold e rekhe kat dilo. daraz er service deteriorate hocche 📉",125,0
dam hisebe vlo diyece,21,1
Product Onk vlo sound quality onk vlo,37,1
